"carrier","total"
"Delta Air Lines Inc.",107851
"American Airlines Inc.",105762
"United Air Lines Inc.",102066
"American Eagle Airlines Inc.",96365
"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",85866
"Southwest Airlines Co.",65549
"Northwest Airlines Inc.",59210
"Atlantic Southeast Airlines",27947
"Alaska Airlines Inc.",26667
"Continental Air Lines Inc.",26565
"Skywest Airlines Inc.",25924
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",25402
"Comair Inc.",24986
"Independence Air",22176
"Expressjet Airlines Inc.",21483
"Trans World Airways LLC",11001
"AirTran Airways Corporation",6075
"ATA Airlines d/b/a ATA",2080
"JetBlue Airways",1707
"Aloha Airlines Inc.",1662
"Hawaiian Airlines Inc.",268
"Frontier Airlines Inc.",175
